ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,9,25,ESCOLA LOURIVAL SOMBRA,8,1058,"RIO BRANCO, Acre, Brasil, ESCOLA LOURIVAL SOMBRA"
2024,RIO BRANCO,9,126,ESCOLA FRANCISCO DE PAULA LEITE OITICICA,7,1538,"RIO BRANCO, Acre, Brasil, ESCOLA FRANCISCO DE PAULA LEITE OITICICA"
2024,RIO BRANCO,1,40,ESCOLA PROFESSOR JOSÉ RODRIGUES LEITE (ÉTICA),14,1317,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR JOSÉ RODRIGUES LEITE (ÉTICA)"
2024,RIO BRANCO,1,530,ESCOLA CARMELITA BARBOSA MONTENEGRO,1,2968,"RIO BRANCO, Acre, Brasil, ESCOLA CARMELITA BARBOSA MONTENEGRO"
2024,RIO BRANCO,1,688,ESCOLA LINDAURA MARTINS LEITÃO,5,3425,"RIO BRANCO, Acre, Brasil, ESCOLA LINDAURA MARTINS LEITÃO"
2024,RIO BRANCO,9,31,ESCOLA LUIZA BATISTA DE SOUZA,10,1066,"RIO BRANCO, Acre, Brasil, ESCOLA LUIZA BATISTA DE SOUZA"
2024,RIO BRANCO,9,314,ESCOLA ESTADUAL PROFESSORA ILKA MARIA DE LIMA,2,1953,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL PROFESSORA ILKA MARIA DE LIMA"
2024,RIO BRANCO,1,828,INSTITUTO IMACULADA CONCEICAO - CENEC,5,1465,"RIO BRANCO, Acre, Brasil, INSTITUTO IMACULADA CONCEICAO - CENEC"
2024,RIO BRANCO,1,169,CONSELHO REGIONAL DE ENFERMAGEM - COREN,11,1554,"RIO BRANCO, Acre, Brasil, CONSELHO REGIONAL DE ENFERMAGEM - COREN"
2024,RIO BRANCO,1,656,ESCOLA PIMENTEL GOMES,12,3336,"RIO BRANCO, Acre, Brasil, ESCOLA PIMENTEL GOMES"
2024,RIO BRANCO,9,402,ESCOLA ISMAEL GOMES DE CARVALHO,4,2330,"RIO BRANCO, Acre, Brasil, ESCOLA ISMAEL GOMES DE CARVALHO"
2024,RIO BRANCO,1,508,ESCOLA MUNICIPAL RAIMUNDO HERMINIO DE MELO,2,1848,"RIO BRANCO, Acre, Brasil, ESCOLA MUNICIPAL RAIMUNDO HERMINIO DE MELO"
2024,RIO BRANCO,1,696,ESCOLA GLÓRIA PEREZ,11,3468,"RIO BRANCO, Acre, Brasil, ESCOLA GLÓRIA PEREZ"
2024,RIO BRANCO,9,276,ESCOLA AYRTON SENNA DA SILVA,4,1660,"RIO BRANCO, Acre, Brasil, ESCOLA AYRTON SENNA DA SILVA"
